start,end,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,3600,7,9,11,7,8,4,5
3600,7200,7,9,11,7,8,6,5
7200,18000,16,21,22,18,20,6,7
18000,21600,25,29,30,26,27,11,13
21600,25200,25,29,30,26,27,11,13
25200,32400,36,38,38,37,36,16,18
32400,36000,29,29,27,30,28,12,13
36000,39600,29,29,27,30,28,10,13
39600,50400,20,17,16,19,16,10,11
50400,54000,11,9,8,11,9,5,5
54000,57600,11,9,8,11,9,5,5
