start,end,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,3600,39,20,32,35,32,14,14
3600,7200,52,34,41,44,42,28,14
7200,18000,54,44,50,54,53,28,28
18000,21600,90,80,83,83,84,46,46
21600,25200,91,93,96,96,97,46,46
25200,32400,114,113,114,114,117,60,60
32400,36000,75,93,82,79,85,46,46
36000,39600,62,79,73,70,75,32,46
39600,50400,60,69,64,60,64,32,32
50400,54000,24,33,31,31,33,14,14
54000,57600,23,20,18,18,20,14,14
