start,end,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,3600,10,8,9,10,11,6,5
3600,7200,2,2,2,1,1,6,1
7200,18000,9,11,11,9,9,0,5
18000,21600,2,2,2,1,1,7,7
21600,25200,9,7,7,6,7,0,0
25200,32400,9,11,11,12,9,6,6
32400,36000,-10,-8,-9,-10,-11,-6,-5
36000,39600,-2,-2,-2,-1,-1,-6,-1
39600,50400,-9,-11,-11,-9,-9,0,-5
50400,54000,-2,-2,-2,-1,-1,-7,-7
54000,57600,-9,-7,-7,-6,-7,0,0
