start,end,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,3600,0,0,0,0,0,0,13
3600,7200,0,0,0,0,0,0,0
7200,18000,25,25,24,24,24,42,0
18000,21600,32,32,32,32,32,54,0
21600,25200,0,0,0,0,0,0,6
25200,32400,0,0,0,0,0,0,4
32400,36000,0,0,0,0,0,0,-13
36000,39600,0,0,0,0,0,0,0
39600,50400,-25,-25,-24,-24,-24,-42,0
50400,54000,-32,-32,-32,-32,-32,-54,0
54000,57600,0,0,0,0,0,0,-6
