,aband,answered,servers,service,wait
0,0.19342201432539102,34205,400,1817.0594477304578,172.6238424204579
1,0.1850378842860046,34447,400,1827.453916614466,168.79996757799722
2,0.19022071901332477,34297,400,1817.9259162745775,174.1888432613009
3,0.18764831857382647,34554,400,1817.5328997997553,170.11835024102376
4,0.1933467097036843,34389,400,1822.957437663607,174.0641498350279
5,0.18627507660287912,34594,400,1799.213914169707,172.90278272300176
6,0.1808137192841112,34754,400,1824.8873902325515,169.5035421101429
7,0.18740777176586326,34561,400,1802.5240064932495,174.616013310972
8,0.19435389988358556,34360,400,1838.2483211109782,177.81852244404607
9,0.19023173525914325,34479,400,1817.4977444510503,172.500606608867
