start,end,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,3600,47,31,43,43,84,33,70
3600,7200,63,48,57,55,113,44,94
7200,18000,118,112,119,117,212,94,177
18000,21600,185,178,183,177,332,142,277
21600,25200,198,200,205,198,356,159,297
25200,32400,237,238,239,235,426,187,355
32400,36000,190,206,196,191,342,153,285
36000,39600,174,190,182,179,313,143,261
39600,50400,118,125,119,117,212,93,177
50400,54000,52,59,55,57,94,45,78
54000,57600,38,37,33,36,68,28,57
