start,end,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,3600,0,0,0,0,0,0,0
3600,7200,0,0,0,0,0,0,0
7200,18000,18,18,18,18,18,0,0
18000,21600,18,18,18,18,18,0,0
21600,25200,18,18,18,18,18,0,0
25200,32400,18,18,18,18,18,0,0
32400,36000,18,18,18,18,18,0,0
36000,39600,18,18,18,18,18,0,0
39600,50400,0,0,0,0,0,0,0
50400,54000,0,0,0,0,0,0,0
54000,57600,0,0,0,0,0,0,0
